Document ID,reviews,Sentiment
56,"This phone was a last resort. I had a completely failed experience with another seller’s IPhone 11, and to be honest, I was extremely nervous when ordering this one. The reviews had been 50/50, so I had very little clue what I was going to get.The package arrived a day early, which was nice and unexpected. My phone was put into what seemed like a generic Android phone box, which, I’ll let you know damn near gave me a heart attack when I opened.Inside were a few things. An Amazon renewed card and one other thing I can’t remember- as well as the phone (obviously) and a charger and charging brick. Charger and charging brick are standard but the cable feels pretty nice and the brick is a good size. Standard plastic holder inside. Nothing more, nothing less. No complaints.For the actual phone, it was inside of a plastic zip bag. The bag itself was scratched up so it was difficult to see the phone inside until i took it out. The first thing I did when I took it out was inspect it for damage. I was completely ready to pack it back up and send it back- but I was pleasantly surprised.The phone had very little cosmetic damage, just some scratches on the frame (my case covers it anyways, so it doesn’t matter to me) and literally no screen damage- besides a little scratch on the upper right corner near the bezel. And you have to remember these phones are used, so I didn’t feel a need to dock a star for that, since you can only see the scratch when the screen is off and light is being reflected onto it. Overall, 9.5/10 for cosmetics.Then, the battery. My particular phone came with 80% battery health, which I personally don’t mind. I have the means to be able to get it replaced when the time comes, and to be honest was a relief after my last IPhone 11 from another seller had 100% battery health, just for it to be a non-Apple battery and cause all sorts of problems.Overall, I have no complaints with this phone. It’s in great condition in my book. Mic, speakers, cameras, haptics, everything (as far as I’ve been using it) has been in perfect order. Based on other reviews, whatever phone you get from this seller honestly depends on luck. It’s trivial, and that should never be the case, but if you can, I’d say take the risk. Worse case scenario you return it and get a full refund and try again.Overall, I’m very happy with my purchase.Read more",Good
57,"It's GORGEOUS!!  I am totally impressed with everything. From purchase to delivery, to product. I was expecting there to be at least a little blemish, somewhere on the phone but, this thing looks like it was never used.  It came in quality packaging with brand new charging equipment and a sim key.  I've had it 1 month now.  The battery life is mind blowing.  I'm still trying to get used to navigating and learning all the features it offers (I went from an iPhone 7).  The camera lenses make me nervous because they stick out.  So, if you don't have a case on it and you place the phone down, the lenses are directly in contact with that surface.  I purchased a Lanhiem Waterproof 360 Full Body Case ($18.99) but it drives me crazy.  I can't stand talking on the phone with it on because the mics are all covered.  Also, it sometimes makes pictures you take less ""crisp"".  It serves it's purpose though.Read more",Neutral
58,Phone is great and all but the screen has a yellowish tint that can be seen at a certain angle and when the screen is dark not turned off but dark you can see it even moreRead more,Neutral
59,It was in good condition. Good battery performance.Read more,Good
60,"Upgraded when my iphone 7 finally stopped working. The battery life on this is great, the face recognition is excellent, and a lot of memory. Probably more than I need. I tried an android but ended up sticking with apple because the reliability and quality just feel higher to meRead more",Good
61,"I’ve bought a lot of used phones on Amazon and 9/10 times something is wrong and I have to return it. This phone was in perfect condition on the outside, original screen, zero marks. The inside worked perfect. The only issue was a 77% battery life, which would be the 5th star, but that I just got replaced at the Apple Store for $100. Very pleased a few days after receiving it. Hopefully it stays that way.Read more",Neutral
62,"Lke it a lot ... Features easy to find ... Big screen for talk & text, but would prefer MUCH larger if I was to use the internet/wifi featureEasy to find protective covers for this modelRead more",Neutral
63,"While renewed, I’d understand if a couple parts are replaced to make the phone work. However, the phone pinged a notification that the screen wasn’t genuine. Sure enough, a genuine screen would be an OLED screen, which the one provided was an LCD one.Read more",Neutral
64,"Lo compré con BuySPRY y enviado por Amazon y la verdad es que es excelente: 90% de bateria, cero golpes, problemas o micro rayones. Traía una mica nueva puesta y no es reparado ni tiene piezas que deshabiliten el FaceID y demás. Escribo este review ya casi dos años de uso y estoy pensando en seguir la misma estrategia para pasarme a un 13 Pro / Pro Max porque si te ahorras bastantito. Obvio uno compra con miedo porque es mucho dinero y reacondicionado y siempre hay reseñas de alguien a quien le vino mal, pero pues con la ventana de devolución de Amazon no hay bronca. Recomendadísimo para quien quiera entrarle a su primer iPhone sin gastar lo de uno nuevo.Read more",Neutral
65,"Teléfono en excelentes condiciones pero con 83% de pila, pero tiene un buen desempeño.Read more",Neutral
66,"                    The media could not be loaded.                 El vendedor con quien compré el teléfono tiene muy buenas reseñas, muchas personas decían que los celulares llegan muy bien, y la verdad sí, el mío llegó sin ningún detalle estético. Sin embargo, me he dado cuenta que, a mi manera de usar el teléfono, no le dura la batería tanto como quisiera, tengo que andar siempre con el cargador, y por eso estoy pensando en regresarlo. La verdad, hubiera preferido tener mejor salud de la batería, a una estética impecable, lo compré de emergencia, pero sí pensaba quedármelo por al menos dos años.Read more",Neutral
67,"This phone was a last resort. I had a completely failed experience with another seller’s IPhone 11, and to be honest, I was extremely nervous when ordering this one. The reviews had been 50/50, so I had very little clue what I was going to get.The package arrived a day early, which was nice and unexpected. My phone was put into what seemed like a generic Android phone box, which, I’ll let you know damn near gave me a heart attack when I opened.Inside were a few things. An Amazon renewed card and one other thing I can’t remember- as well as the phone (obviously) and a charger and charging brick. Charger and charging brick are standard but the cable feels pretty nice and the brick is a good size. Standard plastic holder inside. Nothing more, nothing less. No complaints.For the actual phone, it was inside of a plastic zip bag. The bag itself was scratched up so it was difficult to see the phone inside until i took it out. The first thing I did when I took it out was inspect it for damage. I was completely ready to pack it back up and send it back- but I was pleasantly surprised.The phone had very little cosmetic damage, just some scratches on the frame (my case covers it anyways, so it doesn’t matter to me) and literally no screen damage- besides a little scratch on the upper right corner near the bezel. And you have to remember these phones are used, so I didn’t feel a need to dock a star for that, since you can only see the scratch when the screen is off and light is being reflected onto it. Overall, 9.5/10 for cosmetics.Then, the battery. My particular phone came with 80% battery health, which I personally don’t mind. I have the means to be able to get it replaced when the time comes, and to be honest was a relief after my last IPhone 11 from another seller had 100% battery health, just for it to be a non-Apple battery and cause all sorts of problems.Overall, I have no complaints with this phone. It’s in great condition in my book. Mic, speakers, cameras, haptics, everything (as far as I’ve been using it) has been in perfect order. Based on other reviews, whatever phone you get from this seller honestly depends on luck. It’s trivial, and that should never be the case, but if you can, I’d say take the risk. Worse case scenario you return it and get a full refund and try again.Overall, I’m very happy with my purchase.Read more",Good
68,"It's GORGEOUS!!  I am totally impressed with everything. From purchase to delivery, to product. I was expecting there to be at least a little blemish, somewhere on the phone but, this thing looks like it was never used.  It came in quality packaging with brand new charging equipment and a sim key.  I've had it 1 month now.  The battery life is mind blowing.  I'm still trying to get used to navigating and learning all the features it offers (I went from an iPhone 7).  The camera lenses make me nervous because they stick out.  So, if you don't have a case on it and you place the phone down, the lenses are directly in contact with that surface.  I purchased a Lanhiem Waterproof 360 Full Body Case ($18.99) but it drives me crazy.  I can't stand talking on the phone with it on because the mics are all covered.  Also, it sometimes makes pictures you take less ""crisp"".  It serves it's purpose though.Read more",Neutral
69,Phone is great and all but the screen has a yellowish tint that can be seen at a certain angle and when the screen is dark not turned off but dark you can see it even moreRead more,Neutral
70,It was in good condition. Good battery performance.Read more,Good
71,"Upgraded when my iphone 7 finally stopped working. The battery life on this is great, the face recognition is excellent, and a lot of memory. Probably more than I need. I tried an android but ended up sticking with apple because the reliability and quality just feel higher to meRead more",Good
72,"I’ve bought a lot of used phones on Amazon and 9/10 times something is wrong and I have to return it. This phone was in perfect condition on the outside, original screen, zero marks. The inside worked perfect. The only issue was a 77% battery life, which would be the 5th star, but that I just got replaced at the Apple Store for $100. Very pleased a few days after receiving it. Hopefully it stays that way.Read more",Neutral
73,"Lke it a lot ... Features easy to find ... Big screen for talk & text, but would prefer MUCH larger if I was to use the internet/wifi featureEasy to find protective covers for this modelRead more",Neutral
74,"While renewed, I’d understand if a couple parts are replaced to make the phone work. However, the phone pinged a notification that the screen wasn’t genuine. Sure enough, a genuine screen would be an OLED screen, which the one provided was an LCD one.Read more",Neutral
75,"Lo compré con BuySPRY y enviado por Amazon y la verdad es que es excelente: 90% de bateria, cero golpes, problemas o micro rayones. Traía una mica nueva puesta y no es reparado ni tiene piezas que deshabiliten el FaceID y demás. Escribo este review ya casi dos años de uso y estoy pensando en seguir la misma estrategia para pasarme a un 13 Pro / Pro Max porque si te ahorras bastantito. Obvio uno compra con miedo porque es mucho dinero y reacondicionado y siempre hay reseñas de alguien a quien le vino mal, pero pues con la ventana de devolución de Amazon no hay bronca. Recomendadísimo para quien quiera entrarle a su primer iPhone sin gastar lo de uno nuevo.Read more",Neutral
76,"Teléfono en excelentes condiciones pero con 83% de pila, pero tiene un buen desempeño.Read more",Neutral
77,"                    The media could not be loaded.                 El vendedor con quien compré el teléfono tiene muy buenas reseñas, muchas personas decían que los celulares llegan muy bien, y la verdad sí, el mío llegó sin ningún detalle estético. Sin embargo, me he dado cuenta que, a mi manera de usar el teléfono, no le dura la batería tanto como quisiera, tengo que andar siempre con el cargador, y por eso estoy pensando en regresarlo. La verdad, hubiera preferido tener mejor salud de la batería, a una estética impecable, lo compré de emergencia, pero sí pensaba quedármelo por al menos dos años.Read more",Neutral
78,"Llego con 100 de batería, y estéticamente 9.5 hasta ahora esta bien llevo apenas 3 días con elRead more",Neutral
79,"This phone was a last resort. I had a completely failed experience with another seller’s IPhone 11, and to be honest, I was extremely nervous when ordering this one. The reviews had been 50/50, so I had very little clue what I was going to get.The package arrived a day early, which was nice and unexpected. My phone was put into what seemed like a generic Android phone box, which, I’ll let you know damn near gave me a heart attack when I opened.Inside were a few things. An Amazon renewed card and one other thing I can’t remember- as well as the phone (obviously) and a charger and charging brick. Charger and charging brick are standard but the cable feels pretty nice and the brick is a good size. Standard plastic holder inside. Nothing more, nothing less. No complaints.For the actual phone, it was inside of a plastic zip bag. The bag itself was scratched up so it was difficult to see the phone inside until i took it out. The first thing I did when I took it out was inspect it for damage. I was completely ready to pack it back up and send it back- but I was pleasantly surprised.The phone had very little cosmetic damage, just some scratches on the frame (my case covers it anyways, so it doesn’t matter to me) and literally no screen damage- besides a little scratch on the upper right corner near the bezel. And you have to remember these phones are used, so I didn’t feel a need to dock a star for that, since you can only see the scratch when the screen is off and light is being reflected onto it. Overall, 9.5/10 for cosmetics.Then, the battery. My particular phone came with 80% battery health, which I personally don’t mind. I have the means to be able to get it replaced when the time comes, and to be honest was a relief after my last IPhone 11 from another seller had 100% battery health, just for it to be a non-Apple battery and cause all sorts of problems.Overall, I have no complaints with this phone. It’s in great condition in my book. Mic, speakers, cameras, haptics, everything (as far as I’ve been using it) has been in perfect order. Based on other reviews, whatever phone you get from this seller honestly depends on luck. It’s trivial, and that should never be the case, but if you can, I’d say take the risk. Worse case scenario you return it and get a full refund and try again.Overall, I’m very happy with my purchase.Read more",Good
80,"It's GORGEOUS!!  I am totally impressed with everything. From purchase to delivery, to product. I was expecting there to be at least a little blemish, somewhere on the phone but, this thing looks like it was never used.  It came in quality packaging with brand new charging equipment and a sim key.  I've had it 1 month now.  The battery life is mind blowing.  I'm still trying to get used to navigating and learning all the features it offers (I went from an iPhone 7).  The camera lenses make me nervous because they stick out.  So, if you don't have a case on it and you place the phone down, the lenses are directly in contact with that surface.  I purchased a Lanhiem Waterproof 360 Full Body Case ($18.99) but it drives me crazy.  I can't stand talking on the phone with it on because the mics are all covered.  Also, it sometimes makes pictures you take less ""crisp"".  It serves it's purpose though.Read more",Neutral
81,Phone is great and all but the screen has a yellowish tint that can be seen at a certain angle and when the screen is dark not turned off but dark you can see it even moreRead more,Neutral
82,It was in good condition. Good battery performance.Read more,Good
83,"Upgraded when my iphone 7 finally stopped working. The battery life on this is great, the face recognition is excellent, and a lot of memory. Probably more than I need. I tried an android but ended up sticking with apple because the reliability and quality just feel higher to meRead more",Good
84,"I’ve bought a lot of used phones on Amazon and 9/10 times something is wrong and I have to return it. This phone was in perfect condition on the outside, original screen, zero marks. The inside worked perfect. The only issue was a 77% battery life, which would be the 5th star, but that I just got replaced at the Apple Store for $100. Very pleased a few days after receiving it. Hopefully it stays that way.Read more",Neutral
85,"Lke it a lot ... Features easy to find ... Big screen for talk & text, but would prefer MUCH larger if I was to use the internet/wifi featureEasy to find protective covers for this modelRead more",Neutral
86,"While renewed, I’d understand if a couple parts are replaced to make the phone work. However, the phone pinged a notification that the screen wasn’t genuine. Sure enough, a genuine screen would be an OLED screen, which the one provided was an LCD one.Read more",Neutral
87,"Lo compré con BuySPRY y enviado por Amazon y la verdad es que es excelente: 90% de bateria, cero golpes, problemas o micro rayones. Traía una mica nueva puesta y no es reparado ni tiene piezas que deshabiliten el FaceID y demás. Escribo este review ya casi dos años de uso y estoy pensando en seguir la misma estrategia para pasarme a un 13 Pro / Pro Max porque si te ahorras bastantito. Obvio uno compra con miedo porque es mucho dinero y reacondicionado y siempre hay reseñas de alguien a quien le vino mal, pero pues con la ventana de devolución de Amazon no hay bronca. Recomendadísimo para quien quiera entrarle a su primer iPhone sin gastar lo de uno nuevo.Read more",Neutral
88,"Teléfono en excelentes condiciones pero con 83% de pila, pero tiene un buen desempeño.Read more",Neutral
89,"                    The media could not be loaded.                 El vendedor con quien compré el teléfono tiene muy buenas reseñas, muchas personas decían que los celulares llegan muy bien, y la verdad sí, el mío llegó sin ningún detalle estético. Sin embargo, me he dado cuenta que, a mi manera de usar el teléfono, no le dura la batería tanto como quisiera, tengo que andar siempre con el cargador, y por eso estoy pensando en regresarlo. La verdad, hubiera preferido tener mejor salud de la batería, a una estética impecable, lo compré de emergencia, pero sí pensaba quedármelo por al menos dos años.Read more",Neutral
90,"Llego con 100 de batería, y estéticamente 9.5 hasta ahora esta bien llevo apenas 3 días con elRead more",Neutral
91,"Tras un año de uso puedo decir que todo está excelente con el teléfono, llegó con 90% de batería y a el día de hoy sigue sin problemas.Llega sin cargador ni cubo originales pero es de esperarseRead more",Neutral
